job,nextJobs,prevJobs,jobExec,isBase,path
PSAGCP4008,#N/A,PSAGCP4H03,psag-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PFANCP0001,PFANCP0002,#N/A,pfan-pe-spk-qlt-internaldepositratess-01,TRUE,./xmls/Local/PFAN/CR-PEFANDIA-T02.xml
PFANCP0002,"PFANCP0003, PFANCP0004",PFANCP0001,pfan-pe-krb-inr-internaldepositratesp-01,FALSE,./xmls/Local/PFAN/CR-PEFANDIA-T02.xml
PFANCP0003,#N/A,PFANCP0002,pfan-pe-spk-qlt-internaldepositratesr-01,FALSE,./xmls/Local/PFAN/CR-PEFANDIA-T02.xml
PFANCP0004,PFANCP0005,PFANCP0002,pfan-pe-krb-inm-internaldepositratesp-01,FALSE,./xmls/Local/PFAN/CR-PEFANDIA-T02.xml
PFANCP0005,PFANCP0006,PFANCP0004,pfan-pe-spk-qlt-internaldepositratesm-01,FALSE,./xmls/Local/PFAN/CR-PEFANDIA-T02.xml
PFANCP0006,#N/A,PFANCP0005,pfan-pe-dfs-rmv-removefileshdfs-01,FALSE,./xmls/Local/PFAN/CR-PEFANDIA-T02.xml
PREICP4001,"PCRTCP4001, PCRTCP4002, PCRTCP4003, PCRTCP4004, PCRTCP4005, PCRTCP4006, PCRTCP4007, PCRTCP4008, PCRTCP4009, PCRTCP4012, PCRTCP4013",#N/A,prei-pe-spk-inm-rccglobalmatrix-01,TRUE,./xmls/Local/PREI/CR-PEREIMEN-T02.xml
PMFICP0H01,PMFICP0I01,#N/A,pmfi-pe-spk-qlt-glaccountplans-01,TRUE,./xmls/Local/PMFI/CR-PEMFIDIA-T02.xml
PMFICP0I01,"PMFICP0I02, PMFICP0H02",PMFICP0H01,pmfi-pe-krb-inr-glaccountplanp-01,FALSE,./xmls/Local/PMFI/CR-PEMFIDIA-T02.xml
